1,Portland,"641,162"
2,Salem,"177,723"
3,Eugene,"175,096"
4,Gresham,"113,103"
5,Hillsboro,"106,633"
6,Bend,"102,059"
7,Beaverton,"98,216"
8,Medford,"86,367"
9,Springfield,"62,256"
10,Corvallis,"59,864"
11,Albany,"56,828"
12,Tigard,"55,767"
13,Aloha,"53,724"
14,Lake Oswego,"40,411"
15,Grants Pass,"39,364"
16,Keizer,"39,157"
17,Oregon City,"37,411"
18,Redmond,"35,582"
19,McMinnville,"34,666"
20,Bethany,"28,047"
21,Tualatin,"27,537"
22,West Linn,"27,103"
23,Wilsonville,"26,519"
24,Forest Grove,"26,089"
25,Woodburn,"26,054"
26,Happy Valley,"25,679"
27,Newberg,"25,477"
28,Roseburg,"23,831"
29,Hayesville,"22,189"
30,Klamath Falls,"22,062"
31,Ashland,"21,607"
32,Milwaukie,"20,946"
33,Sherwood,"20,254"
34,Hermiston,"19,455"
35,Central Point,"19,357"
36,Altamont,"18,982"
37,Lebanon,"18,945"
38,Cedar Mill,"18,661"
39,Canby,"18,138"
40,Oak Grove,"17,781"
41,Dallas,"17,285"
42,Pendleton,"16,841"
43,Four Corners,"16,491"
44,The Dalles,"16,043"
45,Troutdale,"15,989"
46,Coos Bay,"15,907"
47,St. Helens,"14,095"
48,Oatfield,"13,588"
49,Cornelius,"13,416"
50,La Grande,"13,158"
51,Sandy,"12,743"
52,Gladstone,"11,978"
53,Oak Hills,"11,682"
54,Ontario,"11,626"
55,Prineville,"11,227"
56,Monmouth,"11,023"
57,Santa Clara,"11,020"
58,Damascus,"10,973"
59,Fairview city,"10,907"
60,Cottage Grove,"10,637"
61,Silverton,"10,558"
62,Newport,"10,496"
63,River Road,"10,352"
64,Astoria,"10,343"
65,North Bend,"10,285"
66,Molalla,"10,201"
67,Independence,"10,190"
68,Baker City,"10,170"
69,Lincoln City,"9,979"
70,Sweet Home,"9,955"
71,Eagle Point,"9,865"
72,Bull Mountain,"9,732"
73,Rockcreek,"9,698"
74,Cedar Hills,"9,514"
75,White City,"9,506"
76,Florence,"9,475"
77,Sutherlin,"8,593"
78,West Haven-Sylvan,"8,505"
79,Jennings Lodge,"8,500"
80,Hood River,"8,341"
81,Stayton,"8,203"
82,Green,"8,149"
83,Scappoose,"8,058"
84,Madras,"7,683"
85,Umatilla,"7,373"
86,Garden Home-Whitford,"7,295"
87,Seaside,"7,234"
88,Milton-Freewater,"7,144"
89,Junction City,"7,116"
90,Brookings,"6,837"
91,West Slope,"6,799"
92,Raleigh Hills,"6,675"
93,Warrenton,"6,393"
94,Deschutes River Woods,"6,305"
95,Talent,"6,141"
96,Creswell,"5,667"
97,Winston,"5,665"
98,Philomath,"5,619"
99,Marlene Village,"5,356"
100 TIE,Tillamook and Veneta,"5,265"
101,King City,"5,105"
102,Wood Village,"4,839"
103,Estacada,"4,764"
104,Sheridan,"4,658"
105,Crooked River Ranch,"4,639"
106,Mount Hood Villages,"4,511"
107,Tri-City,"4,449"
108,Lafayette,"4,435"
109,Metzger,"4,402"
110,Reedsport,"4,332"
111,Roseburg North,"4,328"
112,Phoenix,"4,258"
113,Aumsville,"4,248"
114,Beavercreek,"4,105"
115,Coquille,"4,028"
116,Boardman,"3,921"
117,Harrisburg,"3,684"
118,Toledo,"3,543"
119,Myrtle Creek,"3,501"
120,Hubbard,"3,440"
121,North Plains,"3,424"
122,Mount Angel,"3,395"
123,Three Rivers,"3,368"
124 TIE,Jefferson and Bandon,"3,331"
125,Oakridge,"3,240"
126,Dundee,"3,238"
127,Nyssa,"3,207"
128,Millersburg,"3,203"
129,Shady Cove,"3,116"
130,Sisters,"3,081"
131,Jacksonville,"3,010"
132,Sublimity,"2,954"
133,Redwood,"2,860"
134,Eagle Crest,"2,857"
135,Burns,"2,757"
136,Warm Springs,"2,702"
137,Dayton,"2,688"
138,Gervais,"2,599"
139,Odell,"2,553"
140,La Pine,"2,538"
141,Myrtle Point,"2,489"
142,Lakeview,"2,474"
143,Turner,"2,454"
144,Rogue River,"2,418"
145,Vernonia,"2,405"
146,Juniper Canyon,"2,402"
147,Gold Beach,"2,365"
148,Willamina,"2,262"
149,Waldport,"2,256"
150,Bunker Hill,"2,244"
151,Carlton,"2,234"
152,Lincoln Beach,"2,186"
153,Mulino,"2,178"
154,Stanfield,"2,153"
155,Union,"2,129"
156,Enterprise,"2,099"
157 TIE,Harbor and Cave Junction,"2,071"
158,Irrigon,"2,019"
159,Keno,"2,010"
160,Boring,"1,977"
161,Mill City,"1,965"
162,Columbia City,"1,957"
163,Stafford,"1,940"
164,Durham,"1,916"
165,Rainier,"1,905"
166,Lakeside,"1,901"
167,Vale,"1,899"
168,Warren,"1,876"
169,Gearhart,"1,836"
170,Banks,"1,829"
171,Merlin,"1,792"
172,Amity,"1,767"
173,Clatskanie,"1,732"
174,Heceta Beach,"1,708"
175,Brownsville,"1,706"
176,Barview,"1,704"
177,Chenoweth,"1,703"
178,Elgin,"1,694"
179,Dunthorpe,"1,690"
180,John Day,"1,680"
181,Hines,"1,665"
182,Canyonville,"1,660"
183,Culver,"1,655"
184,Terrebonne,"1,623"
185,Cannon Beach,"1,547"
186,Depoe Bay,"1,518"
187,Grand Ronde,"1,479"
188,Saunders Lake,"1,469"
189,Rockaway Beach,"1,467"
190,Dunes City,"1,441"
191,Bay City,"1,404"
192,Cascade Locks,"1,383"
193,Williams,"1,379"
194,Gold Hill,"1,344"
195,Pilot Rock,"1,337"
196,Prineville Lake Acres,"1,320"
197,Coburg,"1,318"
198,Rose Lodge,"1,316"
199,Glide,"1,287"
200,Tangent,"1,241"
201,New Hope,"1,236"
202,Pacific City,"1,234"
203,Siletz,"1,228"
204,Lowell,"1,221"
